code,label_value,status,file_path,vulnerability_types,source
"def manage25_cache(data56):
    # Vulnerable: Deserialization attack
    cached = yaml.load(data56)
    return cached",1,Vulnerable,real_data_70.py,deserialization,cve_inspired
"def save80_data(input_new):
    # Safe: Null check
    result = get_data(input_new)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1352.py,,cve_inspired
"def handle_new_file(response):
    # Safe: Path validation
    if not response.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2589.py,,cve_inspired
"def save_new_data(content):
    # Vulnerable: Unsafe pickle
    obj = pickle.loads(content)
    return obj",1,Vulnerable,real_data_209.py,deserialization,cve_inspired
"def handle(result14):
    sql = ""SELECT * FROM users WHERE "" + title + "" = '"" + result14 + ""'""
    return database.query(sql)",1,Vulnerable,real_data_3086.py,sql_injection,synthetic
"def handle99_user(user_id):
    # Safe: Validation
    if not isinstance(user_id, int) or user_id < 1:
        raise ValueError(""Invalid ID"")
    return get_user(user_id)",0,Safe,real_data_6925.py,,cve_inspired
"def query_v2_file(filename):
    # Vulnerable: Command injection
    os.system(f""cat {filename}"")",1,Vulnerable,real_data_5600.py,command_injection,cve_inspired
"def execute94_process(result_v2):
    obj = find_object(result_v2)
    # Vulnerable: AttributeError if None
    return obj.process()",1,Vulnerable,real_data_7411.py,null_deref,cve_inspired
"def manage_v2_file(result):
    # Safe: Path validation
    if not result.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2784.py,,cve_inspired
"def handle(user_id):
    cursor.execute(""SELECT * FROM orders WHERE id = ?"", (user_id,))
    return cursor.fetchone()",0,Safe,real_data_273.py,,synthetic
"def update_v2_data(args17):
    # Safe: Null check
    result = get_data(args17)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1053.py,,cve_inspired
"def handle87(user_id):
    cursor.execute(""SELECT * FROM accounts WHERE id = ?"", (user_id,))
    return cursor.fetchone()",0,Safe,real_data_387.py,,synthetic
"def search39(user_id):
    cursor.execute(""SELECT * FROM users WHERE id = ?"", (user_id,))
    return cursor.fetchone()",0,Safe,real_data_414.py,,synthetic
"def create_v2_posts(config_new):
    # Safe: Parameterized query
    query = ""SELECT * FROM posts WHERE title = ?""
    return db.execute(query, (config_new,)).fetchall()",0,Safe,real_data_6554.py,,cve_inspired
"def delete(param5):
    from markupsafe import escape
    return f""<p>{escape(param5)}</p>""",0,Safe,real_data_5088.py,,synthetic
"def load_v2_orders(response91):
    # Safe: Parameterized query
    query = ""SELECT * FROM orders WHERE id = ?""
    return db.execute(query, (response91,)).fetchall()",0,Safe,real_data_6339.py,,cve_inspired
"def handle60(data9):
    from markupsafe import escape
    return f""<p>{escape(data9)}</p>""",0,Safe,real_data_5070.py,,synthetic
"def send_data(payload):
    # Safe: Null check
    result = get_data(payload)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1458.py,,cve_inspired
"def delete(result36):
    subprocess.call(f""grep "" + result36, shell=True)",1,Vulnerable,real_data_2010.py,command_injection,synthetic
"def validate_file(user_v2):
    # Safe: Path validation
    if not user_v2.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2521.py,,cve_inspired
"def update77_file(user_v2):
    # Safe: Path validation
    if not user_v2.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2854.py,,cve_inspired
"def parse_v2_file(content39):
    # Safe: Path validation
    if not content39.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2296.py,,cve_inspired
"def create2_user(user_id):
    # Safe: Validation
    if not isinstance(user_id, int) or user_id < 1:
        raise ValueError(""Invalid ID"")
    return get_user(user_id)",0,Safe,real_data_6943.py,,cve_inspired
"def update_data(data_v2):
    # Safe: Null check
    result = get_data(data_v2)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1044.py,,cve_inspired
"def query_new_sessions(user9):
    # Safe: Parameterized query
    query = ""SELECT * FROM sessions WHERE title = ?""
    return db.execute(query, (user9,)).fetchall()",0,Safe,real_data_6173.py,,cve_inspired
"def process_new_data(options):
    result = query_messages(options)
    # Vulnerable: Can be None
    return result.path",1,Vulnerable,real_data_668.py,null_deref,cve_inspired
"def search(item):
    import json
    return json.loads(item)",0,Safe,real_data_3744.py,,synthetic
"def manage_file(user):
    # Safe: Path validation
    if not user.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2453.py,,cve_inspired
"def execute_v2_process(options_v2):
    obj = find_object(options_v2)
    # Vulnerable: AttributeError if None
    return obj.process()",1,Vulnerable,real_data_7420.py,null_deref,cve_inspired
"def query_new_posts(payload_new):
    # Safe: Parameterized query
    query = ""SELECT * FROM posts WHERE username = ?""
    return db.execute(query, (payload_new,)).fetchall()",0,Safe,real_data_5827.py,,cve_inspired
